source_table, destination_table, source_field, target_field, field_type
ft_daily_temp_records,ft_daily_temp_records_odkx,data_source,data_source,
ft_daily_temp_records,ft_daily_temp_records_odkx,date,date,
ft_daily_temp_records,ft_daily_temp_records_odkx,date_read,date_read,
ft_daily_temp_records,ft_daily_temp_records_odkx,ft_serial_number,ft_serial_number,
ft_daily_temp_records,ft_daily_temp_records_odkx,h_cond,h_cond,
ft_daily_temp_records,ft_daily_temp_records_odkx,high_alarm,high_alarm,
ft_daily_temp_records,ft_daily_temp_records_odkx,high_duration,high_duration,
ft_daily_temp_records,ft_daily_temp_records_odkx,high_trigger_time,high_trigger_time,
ft_daily_temp_records,ft_daily_temp_records_odkx,l_cond,l_cond,
ft_daily_temp_records,ft_daily_temp_records_odkx,low_alarm,low_alarm,
ft_daily_temp_records,ft_daily_temp_records_odkx,low_duration,low_duration,
ft_daily_temp_records,ft_daily_temp_records_odkx,low_trigger_time,low_trigger_time,
ft_daily_temp_records,ft_daily_temp_records_odkx,max_temp,max_temp,
ft_daily_temp_records,ft_daily_temp_records_odkx,max_temp_time,max_temp_time,
ft_daily_temp_records,ft_daily_temp_records_odkx,min_temp,min_temp,
ft_daily_temp_records,ft_daily_temp_records_odkx,min_temp_time,min_temp_time,
ft_daily_temp_records,ft_daily_temp_records_odkx,refrigerator_id,refrigerator_id,
ft_daily_temp_records,ft_daily_temp_records_odkx,units,units,
ft_daily_temp_records,ft_daily_temp_records_odkx,_id,id_ft_daily_temp_records
